_id,id,Gender,Country,YearOfBirth,Language,Ethnicity,YearsOfExperience,LanguageTest,ApprovalRate
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,33,53
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,36,96
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,46,94
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,25,29
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,59,42
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,48,71
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,68,55
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,87,56
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,48,41
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,29,74
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,98,68
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,72,44
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,50,79
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,100,31
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,72,75
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,69,93
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,82,39
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,72,94
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,27,69
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,64,100
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,66,84
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,71,43
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,57,84
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,28,80
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,36,26
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,26,40
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,40,98
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,30,68
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,76,98
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,71,68
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,28,80
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,37,80
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,29,47
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,99,94
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,49,50
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,77,65
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,37,66
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,33,42
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,89,97
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,27,33
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,78,95
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,73,88
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,82,66
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,43,93
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,63,79
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,80,79
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,33,51
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,45,62
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,36,63
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,90,50
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,67,94
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,78,95
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,28,80
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,49,61
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,30,59
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,60,80
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,83,84
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,98,69
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,69,33
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,63,39
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,28,65
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,89,78
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,74,43
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,42,38
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,89,97
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,91,82
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,59,25
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,84,74
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,30,78
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,27,32
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,73,96
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,66,72
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,83,45
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,69,54
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,60,32
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,76,48
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,83,25
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,39,97
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,59,75
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,57,31
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,84,62
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,61,54
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,64,70
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,76,26
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,49,36
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,48,87
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,71,55
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,30,71
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,32,41
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,94,59
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,69,62
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,53,27
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,29,90
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,73,97
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,99,82
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,73,86
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,45,63
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,81,96
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,34,94
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,54,74
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,81,75
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,84,73
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,71,35
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,68,90
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,85,84
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,71,73
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,25,51
*,*,Female,America,*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}",*,99,74
