_id,id,Gender,Country,YearOfBirth,Language,Ethnicity,YearsOfExperience,LanguageTest,ApprovalRate
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",33,53
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",36,96
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",46,94
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",25,29
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",59,42
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",48,71
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",68,55
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",87,56
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",48,41
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",29,74
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",98,68
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",72,44
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",50,79
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",100,31
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",72,75
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",69,93
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",82,39
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",72,94
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",27,69
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",64,100
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",66,84
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",71,43
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",57,84
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",28,80
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",36,26
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",26,40
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",40,98
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",30,68
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",76,98
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",71,68
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",28,80
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",37,80
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",29,47
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",99,94
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",49,50
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",77,65
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",37,66
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",33,42
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",89,97
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",27,33
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",78,95
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",73,88
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",82,66
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",43,93
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",63,79
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",80,79
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",33,51
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",45,62
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",36,63
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",90,50
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",67,94
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",78,95
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",28,80
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",49,61
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",30,59
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",60,80
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",83,84
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",98,69
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",69,33
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",63,39
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",28,65
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",89,78
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",74,43
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",42,38
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",89,97
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",91,82
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",59,25
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",84,74
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",30,78
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",27,32
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",73,96
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",66,72
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",83,45
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",69,54
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",60,32
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",76,48
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",83,25
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",39,97
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",59,75
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",57,31
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",84,62
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",61,54
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",64,70
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",76,26
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",49,36
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",48,87
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",71,55
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",37,52
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",61,100
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",68,43
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",55,84
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",99,86
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",27,72
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",98,86
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",40,63
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",29,70
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",100,99
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",72,34
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",30,50
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",86,90
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",52,59
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",76,57
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",99,29
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",54,45
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",48,69
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",92,63
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",64,74
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",52,56
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",78,38
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",46,30
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",85,99
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",97,95
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",65,89
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",62,30
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",84,72
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",45,63
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",98,65
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",94,32
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",60,97
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",76,36
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",28,69
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",72,75
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",50,59
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",43,97
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",95,54
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",82,92
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",36,74
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",84,37
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",57,50
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",36,38
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",53,67
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",48,88
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",53,34
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",53,57
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",34,84
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",63,37
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",97,75
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",86,100
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",86,80
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",70,38
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",25,89
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",52,34
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",85,45
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",28,36
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",67,57
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",93,85
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",73,78
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",63,48
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",96,78
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",93,73
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",30,42
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",63,33
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",69,57
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",48,91
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",88,74
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",80,49
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",68,61
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",75,91
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",73,76
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",93,31
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",70,91
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",78,82
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",91,67
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",95,50
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",77,76
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",36,64
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",85,57
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",37,44
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",68,34
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",70,57
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",51,41
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",43,40
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",80,57
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",88,26
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",70,41
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",36,33
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",63,70
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",43,54
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",100,59
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",98,100
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",78,74
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",42,87
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",38,96
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",28,77
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",45,80
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",58,44
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",36,51
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",30,41
*,*,Female,America,*,English,"{African-American, Indian, OtherE, White}","[0, 20[",73,63
