_id,id,Gender,Country,YearOfBirth,Language,Ethnicity,YearsOfExperience,LanguageTest,ApprovalRate
*,*,Female,America,*,English,African-American,*,33,53
*,*,Female,America,*,English,African-American,*,36,96
*,*,Female,America,*,English,African-American,*,46,94
*,*,Female,America,*,English,African-American,*,25,29
*,*,Female,America,*,English,African-American,*,59,42
*,*,Female,America,*,English,African-American,*,48,71
*,*,Female,America,*,English,African-American,*,68,55
*,*,Female,America,*,English,African-American,*,87,56
*,*,Female,America,*,English,African-American,*,48,41
*,*,Female,America,*,English,African-American,*,29,74
*,*,Female,America,*,English,African-American,*,98,68
*,*,Female,America,*,English,African-American,*,72,44
*,*,Female,America,*,English,African-American,*,50,79
*,*,Female,America,*,English,African-American,*,100,31
*,*,Female,America,*,English,African-American,*,72,75
*,*,Female,America,*,English,African-American,*,69,93
*,*,Female,America,*,English,African-American,*,82,39
*,*,Female,America,*,English,African-American,*,72,94
*,*,Female,America,*,English,African-American,*,27,69
*,*,Female,America,*,English,African-American,*,64,100
*,*,Female,America,*,English,African-American,*,66,84
*,*,Female,America,*,English,African-American,*,71,43
*,*,Female,America,*,English,African-American,*,57,84
*,*,Female,America,*,English,African-American,*,28,80
*,*,Female,America,*,English,African-American,*,36,26
*,*,Female,America,*,English,African-American,*,26,40
*,*,Female,America,*,English,African-American,*,40,98
*,*,Female,America,*,English,African-American,*,30,68
*,*,Female,America,*,English,African-American,*,76,98
*,*,Female,America,*,English,African-American,*,71,68
*,*,Female,America,*,English,African-American,*,28,80
*,*,Female,America,*,English,African-American,*,37,80
*,*,Female,America,*,English,African-American,*,29,47
*,*,Female,America,*,English,African-American,*,99,94
*,*,Female,America,*,English,African-American,*,49,50
*,*,Female,America,*,English,African-American,*,77,65
*,*,Female,America,*,English,African-American,*,37,66
*,*,Female,America,*,English,African-American,*,33,42
*,*,Female,America,*,English,African-American,*,89,97
*,*,Female,America,*,English,African-American,*,27,33
*,*,Female,America,*,English,African-American,*,78,95
*,*,Female,America,*,English,African-American,*,73,88
*,*,Female,America,*,English,African-American,*,82,66
*,*,Female,America,*,English,African-American,*,43,93
*,*,Female,America,*,English,African-American,*,63,79
*,*,Female,America,*,English,African-American,*,80,79
*,*,Female,America,*,English,African-American,*,33,51
*,*,Female,America,*,English,African-American,*,45,62
*,*,Female,America,*,English,African-American,*,36,63
*,*,Female,America,*,English,African-American,*,90,50
*,*,Female,America,*,English,African-American,*,67,94
*,*,Female,America,*,English,African-American,*,78,95
*,*,Female,America,*,English,African-American,*,28,80
*,*,Female,America,*,English,African-American,*,49,61
*,*,Female,America,*,English,African-American,*,30,59
*,*,Female,America,*,English,African-American,*,60,80
*,*,Female,America,*,English,African-American,*,83,84
*,*,Female,America,*,English,African-American,*,98,69
*,*,Female,America,*,English,African-American,*,69,33
*,*,Female,America,*,English,African-American,*,63,39
*,*,Female,America,*,English,African-American,*,28,65
*,*,Female,America,*,English,African-American,*,89,78
*,*,Female,America,*,English,African-American,*,74,43
*,*,Female,America,*,English,African-American,*,42,38
*,*,Female,America,*,English,African-American,*,89,97
*,*,Female,America,*,English,African-American,*,91,82
*,*,Female,America,*,English,African-American,*,59,25
*,*,Female,America,*,English,African-American,*,84,74
*,*,Female,America,*,English,African-American,*,30,78
*,*,Female,America,*,English,African-American,*,27,32
*,*,Female,America,*,English,African-American,*,73,96
*,*,Female,America,*,English,African-American,*,66,72
*,*,Female,America,*,English,African-American,*,83,45
*,*,Female,America,*,English,African-American,*,69,54
*,*,Female,America,*,English,African-American,*,60,32
*,*,Female,America,*,English,African-American,*,76,48
*,*,Female,America,*,English,African-American,*,83,25
*,*,Female,America,*,English,African-American,*,39,97
*,*,Female,America,*,English,African-American,*,59,75
*,*,Female,America,*,English,African-American,*,57,31
*,*,Female,America,*,English,African-American,*,84,62
*,*,Female,America,*,English,African-American,*,61,54
*,*,Female,America,*,English,African-American,*,64,70
*,*,Female,America,*,English,African-American,*,76,26
*,*,Female,America,*,English,African-American,*,49,36
*,*,Female,America,*,English,African-American,*,48,87
*,*,Female,America,*,English,African-American,*,71,55
*,*,Female,America,*,English,African-American,*,30,71
*,*,Female,America,*,English,African-American,*,32,41
*,*,Female,America,*,English,African-American,*,94,59
*,*,Female,America,*,English,African-American,*,69,62
*,*,Female,America,*,English,African-American,*,53,27
*,*,Female,America,*,English,African-American,*,29,90
*,*,Female,America,*,English,African-American,*,73,97
*,*,Female,America,*,English,African-American,*,99,82
*,*,Female,America,*,English,African-American,*,73,86
*,*,Female,America,*,English,African-American,*,45,63
*,*,Female,America,*,English,African-American,*,81,96
*,*,Female,America,*,English,African-American,*,34,94
*,*,Female,America,*,English,African-American,*,54,74
*,*,Female,America,*,English,African-American,*,81,75
*,*,Female,America,*,English,African-American,*,84,73
*,*,Female,America,*,English,African-American,*,71,35
*,*,Female,America,*,English,African-American,*,68,90
*,*,Female,America,*,English,African-American,*,85,84
*,*,Female,America,*,English,African-American,*,71,73
*,*,Female,America,*,English,African-American,*,25,51
*,*,Female,America,*,English,African-American,*,99,74
*,*,Female,America,*,English,African-American,*,52,92
*,*,Female,America,*,English,African-American,*,73,83
*,*,Female,America,*,English,African-American,*,68,69
*,*,Female,America,*,English,African-American,*,85,70
*,*,Female,America,*,English,African-American,*,78,80
*,*,Female,America,*,English,African-American,*,74,92
*,*,Female,America,*,English,African-American,*,59,87
*,*,Female,America,*,English,African-American,*,72,97
*,*,Female,America,*,English,African-American,*,62,59
*,*,Female,America,*,English,African-American,*,35,57
*,*,Female,America,*,English,African-American,*,44,66
*,*,Female,America,*,English,African-American,*,78,92
*,*,Male,America,*,English,African-American,*,77,42
*,*,Male,America,*,English,African-American,*,64,72
*,*,Male,America,*,English,African-American,*,47,95
*,*,Male,America,*,English,African-American,*,84,59
*,*,Male,America,*,English,African-American,*,32,25
*,*,Male,America,*,English,African-American,*,96,70
*,*,Male,America,*,English,African-American,*,30,39
*,*,Male,America,*,English,African-American,*,54,93
*,*,Male,America,*,English,African-American,*,87,63
*,*,Male,America,*,English,African-American,*,29,88
*,*,Male,America,*,English,African-American,*,55,44
*,*,Male,America,*,English,African-American,*,36,69
*,*,Male,America,*,English,African-American,*,32,78
*,*,Male,America,*,English,African-American,*,71,98
*,*,Male,America,*,English,African-American,*,56,46
*,*,Male,America,*,English,African-American,*,46,85
*,*,Male,America,*,English,African-American,*,55,57
*,*,Male,America,*,English,African-American,*,88,50
*,*,Male,America,*,English,African-American,*,34,99
*,*,Male,America,*,English,African-American,*,73,90
*,*,Male,America,*,English,African-American,*,57,40
*,*,Male,America,*,English,African-American,*,77,38
*,*,Male,America,*,English,African-American,*,48,63
*,*,Male,America,*,English,African-American,*,42,31
*,*,Male,America,*,English,African-American,*,69,87
*,*,Male,America,*,English,African-American,*,58,36
*,*,Male,America,*,English,African-American,*,73,50
*,*,Male,America,*,English,African-American,*,71,69
*,*,Male,America,*,English,African-American,*,66,56
*,*,Male,America,*,English,African-American,*,39,56
*,*,Male,America,*,English,African-American,*,67,81
*,*,Male,America,*,English,African-American,*,54,27
*,*,Male,America,*,English,African-American,*,33,61
*,*,Male,America,*,English,African-American,*,61,57
*,*,Male,America,*,English,African-American,*,75,60
*,*,Male,America,*,English,African-American,*,66,60
*,*,Male,America,*,English,African-American,*,34,52
*,*,Male,America,*,English,African-American,*,61,36
*,*,Male,America,*,English,African-American,*,85,36
*,*,Male,America,*,English,African-American,*,42,63
*,*,Male,America,*,English,African-American,*,44,57
*,*,Male,America,*,English,African-American,*,34,54
*,*,Male,America,*,English,African-American,*,43,98
*,*,Male,America,*,English,African-American,*,53,55
*,*,Male,America,*,English,African-American,*,98,33
*,*,Male,America,*,English,African-American,*,79,30
*,*,Male,America,*,English,African-American,*,51,49
*,*,Male,America,*,English,African-American,*,93,59
*,*,Male,America,*,English,African-American,*,45,71
*,*,Male,America,*,English,African-American,*,30,90
*,*,Male,America,*,English,African-American,*,54,88
*,*,Male,America,*,English,African-American,*,52,67
*,*,Male,America,*,English,African-American,*,54,57
*,*,Male,America,*,English,African-American,*,38,75
*,*,Male,America,*,English,African-American,*,30,84
*,*,Male,America,*,English,African-American,*,29,93
*,*,Male,America,*,English,African-American,*,42,63
*,*,Male,America,*,English,African-American,*,27,32
*,*,Male,America,*,English,African-American,*,35,41
*,*,Male,America,*,English,African-American,*,67,36
*,*,Male,America,*,English,African-American,*,95,92
*,*,Male,America,*,English,African-American,*,71,55
*,*,Male,America,*,English,African-American,*,74,76
*,*,Male,America,*,English,African-American,*,88,75
*,*,Male,America,*,English,African-American,*,98,92
*,*,Male,America,*,English,African-American,*,54,79
*,*,Male,America,*,English,African-American,*,99,61
*,*,Male,America,*,English,African-American,*,43,27
*,*,Male,America,*,English,African-American,*,90,71
*,*,Male,America,*,English,African-American,*,99,44
*,*,Male,America,*,English,African-American,*,64,31
*,*,Male,America,*,English,African-American,*,42,79
*,*,Male,America,*,English,African-American,*,36,54
*,*,Male,America,*,English,African-American,*,82,52
*,*,Male,America,*,English,African-American,*,26,35
*,*,Male,America,*,English,African-American,*,76,83
*,*,Male,America,*,English,African-American,*,92,54
*,*,Male,America,*,English,African-American,*,94,49
*,*,Male,America,*,English,African-American,*,48,71
*,*,Male,America,*,English,African-American,*,100,27
*,*,Male,America,*,English,African-American,*,95,100
*,*,Male,America,*,English,African-American,*,40,43
*,*,Male,America,*,English,African-American,*,94,82
