_id,id,Gender,Country,YearOfBirth,Language,Ethnicity,YearsOfExperience,LanguageTest,ApprovalRate
*,*,Female,America,*,English,African-American,*,25,29
*,*,Female,America,*,English,African-American,*,48,71
*,*,Female,America,*,English,African-American,*,59,42
*,*,Female,America,*,English,African-American,*,33,53
*,*,Female,America,*,English,African-American,*,68,55
*,*,Female,America,*,English,African-American,*,30,71
*,*,Female,America,*,English,African-American,*,36,96
*,*,Female,America,*,English,African-American,*,46,94
*,*,Male,America,*,English,African-American,*,84,59
*,*,Male,America,*,English,African-American,*,94,49
*,*,Male,America,*,English,African-American,*,48,71
*,*,Male,America,*,English,African-American,*,64,72
*,*,Male,America,*,English,African-American,*,77,42
*,*,Male,America,*,English,African-American,*,32,25
*,*,Male,America,*,English,African-American,*,47,95
*,*,Male,America,*,English,African-American,*,92,54
*,*,Female,India,*,English,African-American,*,28,65
*,*,Female,India,*,English,African-American,*,34,52
*,*,Female,India,*,English,African-American,*,90,57
*,*,Female,India,*,English,African-American,*,76,80
*,*,Female,India,*,English,African-American,*,61,49
*,*,Male,India,*,English,African-American,*,41,50
*,*,Male,India,*,English,African-American,*,64,65
*,*,Male,India,*,English,African-American,*,58,65
*,*,Male,India,*,English,African-American,*,86,78
*,*,Male,India,*,English,African-American,*,98,59
*,*,Male,India,*,English,African-American,*,35,99
*,*,Male,India,*,English,African-American,*,26,68
*,*,Male,India,*,English,African-American,*,26,47
*,*,Male,India,*,English,African-American,*,80,82
*,*,Male,India,*,English,African-American,*,44,61
*,*,Male,India,*,English,African-American,*,56,51
*,*,Female,OtherC,*,English,African-American,*,28,89
*,*,Female,OtherC,*,English,African-American,*,42,67
*,*,Female,OtherC,*,English,African-American,*,100,44
*,*,Female,OtherC,*,English,African-American,*,69,93
*,*,Female,OtherC,*,English,African-American,*,81,100
*,*,Female,OtherC,*,English,African-American,*,80,87
*,*,Female,OtherC,*,English,African-American,*,90,80
*,*,Female,OtherC,*,English,African-American,*,39,70
*,*,Male,OtherC,*,English,African-American,*,71,90
*,*,Male,OtherC,*,English,African-American,*,29,30
*,*,Male,OtherC,*,English,African-American,*,44,26
*,*,Male,OtherC,*,English,African-American,*,52,49
*,*,Male,OtherC,*,English,African-American,*,80,62
*,*,Male,OtherC,*,English,African-American,*,37,73
*,*,Male,OtherC,*,English,African-American,*,70,28
*,*,Male,OtherC,*,English,African-American,*,45,59
*,*,Female,America,*,Hindi,African-American,*,68,65
*,*,Female,America,*,Hindi,African-American,*,85,39
*,*,Female,America,*,Hindi,African-American,*,34,59
*,*,Female,America,*,Hindi,African-American,*,33,31
*,*,Female,America,*,Hindi,African-American,*,64,76
*,*,Male,America,*,Hindi,African-American,*,84,53
*,*,Male,America,*,Hindi,African-American,*,85,82
*,*,Male,America,*,Hindi,African-American,*,32,87
*,*,Male,America,*,Hindi,African-American,*,43,28
*,*,Male,America,*,Hindi,African-American,*,67,90
*,*,Male,America,*,Hindi,African-American,*,98,75
*,*,Male,America,*,Hindi,African-American,*,51,51
*,*,Male,America,*,Hindi,African-American,*,40,65
*,*,Female,India,*,Hindi,African-American,*,25,27
*,*,Female,India,*,Hindi,African-American,*,32,72
*,*,Female,India,*,Hindi,African-American,*,74,81
*,*,Male,India,*,Hindi,African-American,*,66,53
*,*,Male,India,*,Hindi,African-American,*,46,97
*,*,Male,India,*,Hindi,African-American,*,88,97
*,*,Female,OtherC,*,Hindi,African-American,*,98,63
*,*,Female,OtherC,*,Hindi,African-American,*,45,60
*,*,Female,OtherC,*,Hindi,African-American,*,69,82
*,*,Female,OtherC,*,Hindi,African-American,*,96,34
