_id,id,Gender,Country,YearOfBirth,Language,Ethnicity,YearsOfExperience,LanguageTest,ApprovalRate
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,33,53
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,36,96
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,46,94
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,25,29
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,59,42
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,48,71
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,68,55
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,30,71
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,68,65
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,64,76
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,85,39
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,34,59
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,33,31
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,85,93
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,65,58
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,50,73
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,91,88
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,97,77
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,54,100
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,41,27
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,59,66
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,56,28
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,76,80
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,28,65
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,34,52
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,61,49
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,90,57
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,32,72
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,74,81
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,25,27
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,99,95
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,29,77
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,29,91
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,29,52
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,47,49
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,91,62
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,59,79
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,35,27
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,80,34
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,81,100
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,28,89
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,100,44
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,69,93
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,80,87
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,90,80
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,39,70
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,42,67
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,98,63
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,45,60
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,84,43
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,69,82
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,45,92
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,83,51
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,96,34
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,32,89
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,70,42
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,96,46
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,65,46
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,73,28
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,75,100
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,100,86
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,52,93
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,82,59
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,75,48
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,67,28
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,31,43
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}",African-American,*,30,25
